ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
Like Paper Film Screen Protector For iPad Air 11 M3 A16 Pro 12.9 13 M4 M5 Air 3 4 5 10th 9th 8th Generation Mini 6 7 Accessories,https://ae-pic-a1.aliexpress-media.com/kf/Sde5640813b6b4750ae6e144770264d9aU.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2678451188/p/1/e/6/t/10301/1100183555541.mp4,Like Paper Film Screen Protector For iPad Air 11 M3 A16 Pro 12.9 13 M4 M5 Air 3 4 5 10th 9th 8th Generation Mini 6 7 Accessories,USD 5.26,USD 5.20,1%,USD,7.0,USD 0.36,7.0,USD 0.36,7256,90.6%,https://s.click.aliexpress.com/e/_c4EAxLlB,,,,,,
M.2 NGFF/NVME to USB3.0 Mobile Hard Disk Case SATA SSD Type-C 5Gbps Enclosure Adapter,https://ae-pic-a1.aliexpress-media.com/kf/Sc926f4af8ce642d387366ac3c0af4a7dT.jpg,,M.2 NGFF/NVME to USB3.0 Mobile Hard Disk Case SATA SSD Type-C 5Gbps Enclosure Adapter,USD 11.80,USD 5.78,51%,USD,3.0,USD 0.17,3.0,USD 0.17,2426,93.1%,https://s.click.aliexpress.com/e/_c4su8m7P,,,,,,
WiFi 6 Network Card PCIe X1 Dual-Band Wireless 2.4G/5GHz 5.4 Wi-Fi6 Bluetooth High Speed Antennas for Windows 10/11 Desktop PC,https://ae-pic-a1.aliexpress-media.com/kf/Sae310e572edd4a28b8731c0a5139ff1b2.png,,WiFi 6 Network Card PCIe X1 Dual-Band Wireless 2.4G/5GHz 5.4 Wi-Fi6 Bluetooth High Speed Antennas for Windows 10/11 Desktop PC,USD 8.98,USD 8.98,0%,USD,7.0,USD 0.63,7.0,USD 0.63,1838,88.0%,https://s.click.aliexpress.com/e/_c3LiiPYd,,,,,,
Honeywell PTM7950 Thermal Pad Phase-Change Material CPU GPU Notebook Computer Watercooler Heatsink Radiator Partner 8.5W/M-k,https://ae-pic-a1.aliexpress-media.com/kf/S2c175eeb422b4bde96d60ef2b0136483i.jpg,,Honeywell PTM7950 Thermal Pad Phase-Change Material CPU GPU Notebook Computer Watercooler Heatsink Radiator Partner 8.5W/M-k,USD 8.62,USD 3.18,63%,USD,7.0,USD 0.22,7.0,USD 0.22,2806,92.1%,https://s.click.aliexpress.com/e/_c3W9TOMZ,,,,,,
DC to Type C PD Power Jack Connector Universal Laptop Charger to 65W USB C PD Adapter Converter for Macbook POCO Samsung Xiaomi,https://ae-pic-a1.aliexpress-media.com/kf/S8e3d7a572bf842d893587cb2df16c029Z.jpg,,DC to Type C PD Power Jack Connector Universal Laptop Charger to 65W USB C PD Adapter Converter for Macbook POCO Samsung Xiaomi,USD 11.37,USD 3.38,70%,USD,7.0,USD 0.24,7.0,USD 0.24,172,93.8%,https://s.click.aliexpress.com/e/_c2JHKBO1,,,,,,
4 in 1 USB C Hub Multiport Adapter Docking Station Type C to 4K HDTV VGA 100W PD Fast Charge Splitter for MacBook Pro/Air Laptop,https://ae-pic-a1.aliexpress-media.com/kf/S90e095a89ce94247878b540d861a52d3n.jpg,,4 in 1 USB C Hub Multiport Adapter Docking Station Type C to 4K HDTV VGA 100W PD Fast Charge Splitter for MacBook Pro/Air Laptop,USD 13.49,USD 4.72,65%,USD,3.0,USD 0.14,3.0,USD 0.14,894,91.9%,https://s.click.aliexpress.com/e/_c3vbEYzx,,,,,,
4K USB 3.0 HDMI Video Capture Card 1080P Game Grabber for PS4/PC/DVD/Camera USB 2.0 Live Streaming Recorder Placa De Video,https://ae-pic-a1.aliexpress-media.com/kf/S6f2471b9acf344cc9b1bfbfe5f35ded6c.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/243645112/p/1/e/6/t/10301/4000278304048.mp4,4K USB 3.0 HDMI Video Capture Card 1080P Game Grabber for PS4/PC/DVD/Camera USB 2.0 Live Streaming Recorder Placa De Video,USD 5.26,USD 5.26,0%,USD,8.0,USD 0.42,3.0,USD 0.16,11,90.0%,https://s.click.aliexpress.com/e/_c44sVt8z,,,,,,
Bluetooth Adapter for Pc Usb Bluetooth 5.4 5.3 Dongle Receiver for Speaker Mouse Keyboard Music Audio Transmitter,https://ae-pic-a1.aliexpress-media.com/kf/S91a9a08394954a84851962134dc2e66dK.jpg,,Bluetooth Adapter for Pc Usb Bluetooth 5.4 5.3 Dongle Receiver for Speaker Mouse Keyboard Music Audio Transmitter,USD 6.94,USD 2.43,65%,USD,7.0,USD 0.17,7.0,USD 0.17,1866,91.1%,https://s.click.aliexpress.com/e/_c454BvSt,,,,,,
1 to 5 Way PWM Fan Hub PC CPU Cooling 4 PIN/3PIN Fan Power Cable Hub Splitter Adapter Desktop Computer Cooler Case Fans,https://ae-pic-a1.aliexpress-media.com/kf/S9a45cf2b61814b9c8024dab2774025c1r.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2675448263/p/1/e/6/t/10301/1100178565559.mp4,1 to 5 Way PWM Fan Hub PC CPU Cooling 4 PIN/3PIN Fan Power Cable Hub Splitter Adapter Desktop Computer Cooler Case Fans,USD 2.37,USD 2.37,0%,USD,8.0,USD 0.19,3.0,USD 0.07,1178,94.7%,https://s.click.aliexpress.com/e/_c3R1E25T,,,,,,
"8 Inch 1024*768 Screen Display LCD Monitor Driver Control Board Mini HDMI-Compatible For Lattepanda,Raspberry Pi Banana Pi PC",https://ae-pic-a1.aliexpress-media.com/kf/S49e3680dff7642328a222f3b9974848aq.jpg,,"8 Inch 1024*768 Screen Display LCD Monitor Driver Control Board Mini HDMI-Compatible For Lattepanda,Raspberry Pi Banana Pi PC",USD 34.70,USD 34.70,0%,USD,7.0,USD 2.43,7.0,USD 2.43,86,88.0%,https://s.click.aliexpress.com/e/_c3cmwugp,,,,,,
4K Mini DP to HDMI Adapter Mini Displayport To HDMI Cable 1080P Mini DP Male to HDMI-compatible Female For Apple MacBook Air Pro,https://ae-pic-a1.aliexpress-media.com/kf/Sdd174268cd47483e8d76c10554f97acd0.jpg,,4K Mini DP to HDMI Adapter Mini Displayport To HDMI Cable 1080P Mini DP Male to HDMI-compatible Female For Apple MacBook Air Pro,USD 1.97,USD 1.97,0%,USD,3.0,USD 0.06,3.0,USD 0.06,839,92.3%,https://s.click.aliexpress.com/e/_c30yve8Z,,,,,,
GELID GP-Ultimate 12W/MK Thermal Pad CPU/GPU Graphics Motherboard Silicone Grease Pad Heat Dissipation Silicone Pad Multi-Size 8,https://ae-pic-a1.aliexpress-media.com/kf/Sb24a3f1a71184d628819e053b27c7d1cC.png,,GELID GP-Ultimate 12W/MK Thermal Pad CPU/GPU Graphics Motherboard Silicone Grease Pad Heat Dissipation Silicone Pad Multi-Size 8,USD 5.12,USD 2.10,59%,USD,7.0,USD 0.15,7.0,USD 0.15,293,97.7%,https://s.click.aliexpress.com/e/_c3fFrAa5,,,,,,
"1PC Large Mouse Pads For Desk, Gaming Mouse Pad, Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Extended Mouse Pad",https://ae-pic-a1.aliexpress-media.com/kf/S82e381621d394750aed880a11b3be5a5B.jpg,,"1PC Large Mouse Pads For Desk, Gaming Mouse Pad, Mouse Pad with Stitched Edges and Non-Slip Rubber Base, Extended Mouse Pad",USD 5.24,USD 2.65,49%,USD,3.0,USD 0.08,3.0,USD 0.08,11819,92.2%,https://s.click.aliexpress.com/e/_c3s81xfL,,,,,,
100/1000Mbps Gigabit Ethernet High Performance Smart Switch 5 Ports Network Connector For USB Cable RJ45 Splitter Adapter Office,https://ae-pic-a1.aliexpress-media.com/kf/S7abcdd4b17f54d49a720f7962f7124c4v.jpg,,100/1000Mbps Gigabit Ethernet High Performance Smart Switch 5 Ports Network Connector For USB Cable RJ45 Splitter Adapter Office,USD 11.06,USD 5.42,51%,USD,7.0,USD 0.38,7.0,USD 0.38,710,93.1%,https://s.click.aliexpress.com/e/_c41g3BgN,,,,,,
Wireless WiFi Repeater Wifi Signal Booster Dual-Band 2.4G WiFi Extender 802.11bgn Gigabit EU US Plugs WiFi Amplifier WPS Rout,https://ae-pic-a1.aliexpress-media.com/kf/Sb724db9b9a1f4f99836426840bb7099df.jpg,,Wireless WiFi Repeater Wifi Signal Booster Dual-Band 2.4G WiFi Extender 802.11bgn Gigabit EU US Plugs WiFi Amplifier WPS Rout,USD 15.06,USD 7.15,52%,USD,7.0,USD 0.50,7.0,USD 0.50,222,89.1%,https://s.click.aliexpress.com/e/_c3jZ0Igv,,,,,,
RJ11 6P4C 1 to 2 Wire Adapter Telephone Ethernet Cord Converter Landline Male to Female Plug Separator 1 In 2 Out Cable Splitter,https://ae-pic-a1.aliexpress-media.com/kf/Sd8d3ce8cd09e4f1a94dd3707511161d9v.jpg,,RJ11 6P4C 1 to 2 Wire Adapter Telephone Ethernet Cord Converter Landline Male to Female Plug Separator 1 In 2 Out Cable Splitter,USD 5.47,USD 1.98,63%,USD,7.0,USD 0.14,7.0,USD 0.14,502,91.7%,https://s.click.aliexpress.com/e/_c3uPoPQh,,,,,,
USB Wired Gaming Mouse 7 Button Backlit Ergonomic Mice 5500 DPI Backlight Adjustable Optical Mice for PC Gamer Computer Desktop,https://ae-pic-a1.aliexpress-media.com/kf/Sba4371cd15c64d3c933230407a0a1359s.jpg,,USB Wired Gaming Mouse 7 Button Backlit Ergonomic Mice 5500 DPI Backlight Adjustable Optical Mice for PC Gamer Computer Desktop,USD 11.44,USD 5.79,49%,USD,3.0,USD 0.17,3.0,USD 0.17,1471,93.5%,https://s.click.aliexpress.com/e/_c2RYSXPj,,,,,,
Keyboard Laptop For ASUS ACER HP DELL IBM lenovo Xiaomi HUAWEI Samsung MSi LG Apple HASEE SONY cap Keycap And hinge Replacement,https://ae-pic-a1.aliexpress-media.com/kf/S347e9add9bf5414baeb405ab2a5dabfdM.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2676506342/p/1/e/6/t/10301/1100175359694.mp4,Keyboard Laptop For ASUS ACER HP DELL IBM lenovo Xiaomi HUAWEI Samsung MSi LG Apple HASEE SONY cap Keycap And hinge Replacement,USD 2.95,USD 2.95,0%,USD,8.0,USD 0.24,7.0,USD 0.21,599,95.5%,https://s.click.aliexpress.com/e/_c3f18sez,,,,,,
Fenvi Dual Band WiFi 6 AX900 Bluetooth 5.4 PCI-Express Wireless Adapter 8cm Low Bracke Network Card for Desktop Windows 10/11,https://ae-pic-a1.aliexpress-media.com/kf/S3289ced77fc64b3cb19fcb34318038bch.png,,Fenvi Dual Band WiFi 6 AX900 Bluetooth 5.4 PCI-Express Wireless Adapter 8cm Low Bracke Network Card for Desktop Windows 10/11,USD 10.39,USD 10.39,0%,USD,7.0,USD 0.73,7.0,USD 0.73,486,87.0%,https://s.click.aliexpress.com/e/_c3J50HUV,,,,,,
Ergonomic Wrist Rest Mouse Pad Comfortable Wrist Support Non Slip Mice Mat Soft Mousepad For PC Laptop Computer,https://ae-pic-a1.aliexpress-media.com/kf/S54845012b00b4041aa9b34d139c8540dY.jpg,,Ergonomic Wrist Rest Mouse Pad Comfortable Wrist Support Non Slip Mice Mat Soft Mousepad For PC Laptop Computer,USD 1.36,USD 1.36,0%,USD,3.0,USD 0.04,3.0,USD 0.04,4557,87.3%,https://s.click.aliexpress.com/e/_c4laNbjT,,,,,,
