ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005005258499489,https://ae-pic-a1.aliexpress-media.com/kf/S28fe60831f254027bf76f9e1443b37f4i.jpg,,For Kawasaki VERSYS 650 1000 X300 Motorcycle Accelerator Booster Handle Control Grip Throttle Assistant Clip Labor Saver,USD 2.79,USD 2.79,0%,USD,10.5,USD 0.29,7.0,USD 0.20,627,98.5%,https://s.click.aliexpress.com/e/_c4DOd1Kv,,,,,,
1005010504358290,https://ae-pic-a1.aliexpress-media.com/kf/Se3f138ce49694d91a4afea9baceb43b8o.jpg,,Paul Mauriat Lossless Car CD | Classic Light Music Album | High-Fidelity Automotive Music Record,USD 31.01,USD 15.51,49%,USD,7.0,USD 1.09,7.0,USD 1.09,15,100.0%,https://s.click.aliexpress.com/e/_c3H4TCU1,,,,,,
1005009908671897,https://ae-pic-a1.aliexpress-media.com/kf/S7a8885758bf84c72aa42eae95e0ebfb0F.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/6001764289/p/1/e/6/t/10301/4000306638086.mp4,Cloth Natural Leather Ballet Dance Shoes For Women Middle Heel Soft Jazz Salsa Dancing Shoes Sneakers For Girls Yoga Shoes,USD 34.98,USD 15.74,55%,USD,7.0,USD 1.10,7.0,USD 1.10,58,97.1%,https://s.click.aliexpress.com/e/_c3EwHmcv,,,,,,
1005006119879131,https://ae-pic-a1.aliexpress-media.com/kf/Sde3e5e70737c4adbbb0ecd9398b5caa3f.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2673387065/p/1/e/6/t/10301/4000125118382.mp4,For AGV K5 K5S K5-S K3SV K1 K1S Compact ST Motorcycle Helmet Visor Lens Shield Glasses Full face Pin Accesorios Para Moto Casque,USD 10.03,USD 10.03,0%,USD,8.0,USD 0.80,7.0,USD 0.70,2939,85.5%,https://s.click.aliexpress.com/e/_c3QDrz7F,,,,,,
1005011741936706,https://ae-pic-a1.aliexpress-media.com/kf/S7489f690ac284dbf9769c61b1d4196df3.jpg,,CD Classic Jazz Album John Coltrane Music CD A Love Supreme Live Music Record Cosplay Walkman Car Soundtracks Box Gifts,USD 37.90,USD 18.95,49%,USD,7.0,USD 1.33,7.0,USD 1.33,7,100.0%,https://s.click.aliexpress.com/e/_c4bbtdkz,,,,,,
1005007960335777,https://ae-pic-a1.aliexpress-media.com/kf/Sa5fe4db984d84123964d006a5cb09f63B.jpg,,Bat Mask Headgear Latex Material Cosplay Headgear Halloween Night Dance Party Adult Masquerade Mask Latex Mask for Men Anime,USD 12.14,USD 5.55,54%,USD,7.0,USD 0.39,7.0,USD 0.39,606,91.2%,https://s.click.aliexpress.com/e/_c408DXrL,,,,,,
1005010504855796,https://ae-pic-a1.aliexpress-media.com/kf/A1b131bbe0b03489fbd587c0b7160646fD.jpg,,Dustin Henderson Baseball Cap Cosplay TV ST Disguise Roleplay Casual Outdoor Breathable Cap Costume Props Men Halloween Headwear,USD 5.37,USD 5.37,0%,USD,7.0,USD 0.38,7.0,USD 0.38,840,92.3%,https://s.click.aliexpress.com/e/_c3yFam3f,,,,,,
1005007084850910,https://ae-pic-a1.aliexpress-media.com/kf/S65f83561d40a41679b29c36011aae5ebV.jpg,,Mark Douglas Trading in The Zone and The Disciplined Trader Book Paperback in English,USD 13.64,USD 13.64,0%,USD,7.0,USD 0.95,7.0,USD 0.95,360,94.0%,https://s.click.aliexpress.com/e/_c2xcXE3J,,,,,,
1005007391573890,https://ae-pic-a1.aliexpress-media.com/kf/Sb36ee9c308494f7d9522ffec2eee8d5a3.jpg,,SEAMETAL Motorcycle Back Seat Helmet Strips Elastic Rope Motorcycle Helmet Fixed Strap Adjustment Fix Rope Goods Strap 60cm/90cm,USD 6.65,USD 1.88,71%,USD,7.0,USD 0.13,7.0,USD 0.13,26078,94.6%,https://s.click.aliexpress.com/e/_c3BzsDCN,,,,,,
1005008158677915,https://ae-pic-a1.aliexpress-media.com/kf/S8e3ac7da54e84841a157b7ecf548e25bJ.jpg,,Girls Lyrical Dance Dress Color Block Sleeveless Mesh Split Leotard Ballet Figure Skating Gymnastics Stage Performance Costume,USD 13.60,USD 8.16,40%,USD,9.0,USD 0.73,7.0,USD 0.57,331,94.8%,https://s.click.aliexpress.com/e/_c3CNf61b,,,,,,
1005012000943651,https://ae-pic-a1.aliexpress-media.com/kf/Sd0cb73a31101436a81f3c1b869428ae6m.jpg,,"English Version: 100,000 Whys for Kids - Fun Science Lessons to Build the Ultimate Brain, Think Like Scientist & Explore Unknown",USD 22.01,USD 10.48,52%,USD,7.0,USD 0.73,7.0,USD 0.73,2230,89.4%,https://s.click.aliexpress.com/e/_c3qLtjxT,,,,,,
1005011537467527,https://ae-pic-a1.aliexpress-media.com/kf/Sf63f3ecb86c3455abf63dbad3f1bc8daP.jpg,,Hana To Yume  Magazine Spring Storm and The Monster Manga 2026 Shoujo Comic Miyuki Mitsubachi Complete Appendix Tamon's B-Side,USD 62.38,USD 38.67,38%,USD,8.0,USD 3.09,7.0,USD 2.71,12,100.0%,https://s.click.aliexpress.com/e/_c4BiNkrX,,,,,,
1005007795710593,https://ae-pic-a1.aliexpress-media.com/kf/S95ef88e112ca44c98bec79e390667f10P.png,,TCYATO Motorcycles CSP Motorcycle Spotlight - Aluminum Alloy Fisheye/Far and Near Integrated/Equipped with Switch Lighting/Dual,USD 2.68,USD 2.68,0%,USD,8.0,USD 0.21,7.0,USD 0.19,36,83.2%,https://s.click.aliexpress.com/e/_c3VgFUWH,,,,,,
1005006413147816,https://ae-pic-a1.aliexpress-media.com/kf/Sa1e5f63c7f7a49969e840691b44ec0deB.jpg,,Motorcycle Gloves Touch Screen Motorbike Riding Gloves Summer Breathable Moto Gloves Full Finger Motocross Guantes Gloves,USD 18.16,USD 6.36,65%,USD,7.0,USD 0.45,7.0,USD 0.45,900,92.1%,https://s.click.aliexpress.com/e/_c3yjOxKD,,,,,,
1005010423285103,https://ae-pic-a1.aliexpress-media.com/kf/Sf101a6c1e0be4ac5aa50c76851d843a2W.png,,JoJo's Bizarre Adventure Kujo Jotaro Cosplay Cap Unisex Adult Metal Badge Hat Prop,USD 14.10,USD 6.43,54%,USD,7.0,USD 0.45,7.0,USD 0.45,899,95.4%,https://s.click.aliexpress.com/e/_c3jYKcsh,,,,,,
1005006216680936,https://ae-pic-a1.aliexpress-media.com/kf/Sb802852c04d349d981d975d75b09a727A.jpg,,Summer Breathable Full Finger Motorcycle Gloves Non-slip Wear-resistant Motocross Racing Gloves Touch Screen Moto Biker Gloves,USD 19.11,USD 6.31,67%,USD,7.0,USD 0.44,7.0,USD 0.44,9374,92.7%,https://s.click.aliexpress.com/e/_c4WbGDrL,,,,,,
1005011896695847,https://ae-pic-a1.aliexpress-media.com/kf/Sa9c94b8810854f48b40ea5320766bae62.png,,"Building the Ultimate Brain: 100000 Whys – Fun and Joyful Science for Kids to Develop a Scientist’s Way of Thinking, Explore the",USD 26.18,USD 11.93,54%,USD,7.0,USD 0.84,7.0,USD 0.84,3180,100.0%,https://s.click.aliexpress.com/e/_c3xV7SnR,,,,,,
1005006936840589,https://ae-pic-a1.aliexpress-media.com/kf/Sfd85e46f341a40a8a2f22cf1fcceac0eT.jpg,,Universal Motorcycle LED Headlight Projector Lens Dual Color ATV Scooter Driving Lamp Fog Light Auxiliary Spotlight Lamp,USD 6.46,USD 3.23,49%,USD,7.0,USD 0.23,7.0,USD 0.23,4851,90.7%,https://s.click.aliexpress.com/e/_c4DZUGkt,,,,,,
1005007532043595,https://ae-pic-a1.aliexpress-media.com/kf/Sef2aa2c3d6db4c3291069f8d38cd6381e.jpg,,Summer Mesh Baseball Cap Women Men ENJOY LIFE Letter Patch Snapback Hat Casual Breathable Unisex Street Hip Hop Trucker Caps,USD 10.88,USD 3.59,67%,USD,7.0,USD 0.25,7.0,USD 0.25,3930,87.5%,https://s.click.aliexpress.com/e/_c3UjzB5B,,,,,,
1005007116832523,https://ae-pic-a1.aliexpress-media.com/kf/Sa3936a901713491f89351be31a8af69fg.jpg,,Elastic Scrub Set Operating Room Surgical Uniform Dental Veterinary Work Uniforms V-neck Short Sleeved Tops Pants Suit Wholesale,USD 11.41,USD 10.60,7%,USD,7.0,USD 0.74,7.0,USD 0.74,722,94.5%,https://s.click.aliexpress.com/e/_c3B5rwRP,,,,,,
1005009966426098,https://ae-pic-a1.aliexpress-media.com/kf/Sa0ab8e870997409aaa76faff14aefa8fo.jpg,,Toilet Training Sticker Chart for Kids - Potty Reward Progress Chart for Boys & Girls to Encourage Good Potty Practice,USD 11.08,USD 5.54,50%,USD,7.0,USD 0.39,7.0,USD 0.39,239,100.0%,https://s.click.aliexpress.com/e/_c3hI8emV,,,,,,
1005009540694556,https://ae-pic-a1.aliexpress-media.com/kf/Sf88a37a48044479f94d6e550c28f9916N.jpg,,"156 Words A-Z Learning Cards with Pictures, 27 English Word Cards, Educational Cognitive Games",USD 5.08,USD 2.08,59%,USD,7.0,USD 0.15,7.0,USD 0.15,2309,94.0%,https://s.click.aliexpress.com/e/_c4de7znT,,,,,,
1005007319790009,https://ae-pic-a1.aliexpress-media.com/kf/S9eeff540a795439395fbd6a31e095736h.jpg,,Stainless Steel Assassin Syndicate Creed Pendant Game Movie Anime Cosplay Necklace Gift,USD 5.24,USD 2.46,53%,USD,7.0,USD 0.17,7.0,USD 0.17,795,94.6%,https://s.click.aliexpress.com/e/_c2vU0Cad,,,,,,
1005008041186169,https://ae-pic-a1.aliexpress-media.com/kf/S319f897319234677b9f020071ac69ca7V.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2668850177/p/1/e/6/t/10301/4000173726208.mp4,250W PD Car Charger QC3.0 Fast Charge two to Six Port Car Cigarette Lighter Plug Car Charger Flash Charge with Digital Display,USD 6.57,USD 2.12,67%,USD,7.0,USD 0.15,7.0,USD 0.15,15241,92.7%,https://s.click.aliexpress.com/e/_c3CmxkXJ,,,,,,
1005005908857795,https://ae-pic-a1.aliexpress-media.com/kf/S6e806c3264bb40e1b08a8cda4f7eed25N.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2984593799/p/1/e/6/t/10301/347804245447.mp4,Dustproof Motocross Glasses Adjustable Motorcycle Goggles Breathable Full Face Protective Motorbike Dirt Bike Off-road Mask,USD 7.27,USD 2.45,66%,USD,7.0,USD 0.17,7.0,USD 0.17,8903,93.4%,https://s.click.aliexpress.com/e/_c4008wfJ,,,,,,
1005010364158387,https://ae-pic-a1.aliexpress-media.com/kf/S8165232714b0486981abb6243a12a85cb.jpg,,For Motocross KTM RMZ KXF CR CRF YZ YZF Dirt Pit Bike ATV Universal CNC Aluminum Fuel Tank Air Vent Gas Cap oil Vent KAYO BSE,USD 1.95,USD 1.93,1%,USD,8.0,USD 0.15,7.0,USD 0.14,566,99.5%,https://s.click.aliexpress.com/e/_c3drXwxr,,,,,,
1005010019183489,https://ae-pic-a1.aliexpress-media.com/kf/S369f3c495eb44855bf104cb04e58d7f7Y.jpg,,"1pc nurse design Retractable Badge Reel - Durable Acrylic ID Holder for Nurses, Office Workers & Students,",USD 2.94,USD 1.47,50%,USD,7.0,USD 0.10,7.0,USD 0.10,51,100.0%,https://s.click.aliexpress.com/e/_c3NCIap7,,,,,,
1005008954983631,https://ae-pic-a1.aliexpress-media.com/kf/S0db3c3a8ff69488fae4ab876fff7a4c5M.jpg,,"[22 Inch Straight Wig Block] Elegant 22 Inch Women's Straight Synthetic Wig Block, High Temperature Fiber, Light Brown to Black",USD 17.19,USD 8.59,49%,USD,7.0,USD 0.60,7.0,USD 0.60,1044,87.4%,https://s.click.aliexpress.com/e/_c3A7ecGt,,,,,,
1005005477329138,https://ae-pic-a1.aliexpress-media.com/kf/S9b81acad0dfa484590e1f0d3f73b97e2O.jpg,,0 To +4.0New Presbyopic Glasses Full Frame Anti Blue Light Flat Mirror Wholesale of Finished Retro Round Frame Presbyopic Lasses,USD 2.74,USD 2.74,0%,USD,7.0,USD 0.19,7.0,USD 0.19,113,92.9%,https://s.click.aliexpress.com/e/_c37lJBTj,,,,,,
1005006747787446,https://ae-pic-a1.aliexpress-media.com/kf/S3986b4994b1e4feeadfc2c8b7ceb50b4q.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2676290404/p/1/e/6/t/10301/1100193286898.mp4,0.06mm Brown Straight Man Toupee V Style Frontal Hairline For Men 15cm Human Hair Ultra Thin Skin PU Men's Capillary Prosthesis,USD 52.39,USD 18.43,64%,USD,7.0,USD 1.29,7.0,USD 1.29,254,86.1%,https://s.click.aliexpress.com/e/_c3nwZWz7,,,,,,
1005005378015241,https://ae-pic-a1.aliexpress-media.com/kf/Sb7af96fa1eb04e7199bf343e11682e45x.jpg,,Sunglasses Women Fashion Gradient Glasses Square Large Frame  Cycling Glasses Outdoor Sun Glasses Oversized 2024,USD 2.91,USD 2.91,0%,USD,7.0,USD 0.20,7.0,USD 0.20,257,94.2%,https://s.click.aliexpress.com/e/_c4D9Tygt,,,,,,
1005009130332855,https://ae-pic-a1.aliexpress-media.com/kf/S9b4ea7d24aa244f3b4637dd0d97d5bddB.jpg,,Vintage Round Sunglasses for Women Men Circular Sun Glasses Female Oval Eyewear Sunglasses for Male Female Eyeglasses,USD 2.41,USD 2.41,0%,USD,7.0,USD 0.17,7.0,USD 0.17,6305,88.7%,https://s.click.aliexpress.com/e/_c2wEMTtB,,,,,,
1005005810780889,https://ae-pic-a1.aliexpress-media.com/kf/Sbe7464d95c3448fab09df6c34df89690L.jpg,,BOHOWAII Muslim Inner Under Hijab Cap Ramadan African Hat Malaysian Modal Cotton Instant Bonnet Femme Musulman Headband,USD 4.88,USD 2.44,50%,USD,9.0,USD 0.22,9.0,USD 0.22,91,93.6%,https://s.click.aliexpress.com/e/_c3hu9yVT,,,,,,
1005001880476815,https://ae-pic-a1.aliexpress-media.com/kf/Sb5d113ff1e934d85b9f905c6658f4f72P.jpg,,White Solid Color Basic Slim Men T-shirt Spring Autumn Bottoming Shirt Men Round Neck V-neck Casual Tops Long-sleeve Shirts,USD 4.89,USD 4.89,0%,USD,9.0,USD 0.44,9.0,USD 0.44,462,82.5%,https://s.click.aliexpress.com/e/_c3FMVetb,,,,,,
1005006750896894,https://ae-pic-a1.aliexpress-media.com/kf/Sd05b169a687d4325a76c06a5a83d3c80L.jpg,,Sexy Faux Leather Dress Backless Club Party Short Dress Solid Black Wet Look Latex Bodycon Push Up Bra Mini Micro Dress,USD 8.91,USD 4.41,50%,USD,9.0,USD 0.40,9.0,USD 0.40,3105,88.6%,https://s.click.aliexpress.com/e/_c4DdhlC5,,,,,,
1005011918601466,https://ae-pic-a1.aliexpress-media.com/kf/S9f9d5e3be77f425c840d2ec7c5d0fb1a6.jpg,,Wholesale Walker Tape Strong Hold Hair System Adhesive  Solvent Wig Glue Remover for lace wigs toupee closure,USD 4.61,USD 2.21,52%,USD,7.0,USD 0.15,7.0,USD 0.15,24,93.3%,https://s.click.aliexpress.com/e/_c4KXxb1R,,,,,,
1005008951203219,https://ae-pic-a1.aliexpress-media.com/kf/S7cf0d1f159c14d75a71358f330aa68680.jpg,,10Pcs/Set Sweet Hair Band Bow Flower Hairbands for Children Girls Sweet HairTies Elastic Rubber Band Hair Rope Hair Accessories,USD 4.23,USD 4.23,0%,USD,8.0,USD 0.34,7.0,USD 0.30,237,89.6%,https://s.click.aliexpress.com/e/_c43QSFwv,,,,,,
1005003960744974,https://ae-pic-a1.aliexpress-media.com/kf/Sffd3a93d9c7d4967b8ccab22c129c72dY.jpg,,2026 New totem Flame Baseball Cap Men's women's European and American net red Cap Spring and Summer Sun Shading Smbroidered Hat,USD 5.88,USD 5.88,0%,USD,7.0,USD 0.41,7.0,USD 0.41,419,94.6%,https://s.click.aliexpress.com/e/_c33s0Z5X,,,,,,
1005006783851715,https://ae-pic-a1.aliexpress-media.com/kf/S4354f37e78cf43eebe226652db8c5f36q.jpg,,Thermal Underwear Tops Men Winter Clothes Thermal Shirt Autumn Men's Winter Tights High Neck Thin Slim Fit Long Sleeve T-shirt,USD 9.93,USD 4.12,58%,USD,9.0,USD 0.37,9.0,USD 0.37,9344,86.7%,https://s.click.aliexpress.com/e/_c3O3pYEl,,,,,,
1005006429461932,https://ae-pic-a1.aliexpress-media.com/kf/Ae2ee4201653a43ae97a553d671072b49B.jpg,,Men Fashion Quick Dry Pants Lightweight Hiking Jogging Running Trousers Breathable Workout Gym Ankle Tied Athletic Pants,USD 13.22,USD 5.82,56%,USD,9.0,USD 0.52,9.0,USD 0.52,8249,87.4%,https://s.click.aliexpress.com/e/_c4FjU8Yp,,,,,,
1005007821613094,https://ae-pic-a1.aliexpress-media.com/kf/Sf4ba319ac0814084888e7fb7c8fbd2009.jpg,,Sleeveless Knit Bodysuit 2024 Hot Summer Sexy Bodycon Off Shoulder Halter Tops Casual Street Bodice For Women ClubWear,USD 3.83,USD 3.83,0%,USD,9.0,USD 0.34,9.0,USD 0.34,1228,87.0%,https://s.click.aliexpress.com/e/_c3fwzy1L,,,,,,
1005007438883702,https://ae-pic-a1.aliexpress-media.com/kf/S39c10d2b96dc47478b0f66eea05e8e9f9.jpg,,Men's Casual and Fashionable Long Sleeved Solid Color Shirt Non Ironing and Wrinkle Resistant Business Top,USD 16.73,USD 7.02,58%,USD,9.0,USD 0.63,9.0,USD 0.63,4344,88.5%,https://s.click.aliexpress.com/e/_c40N5DOp,,,,,,
1005006791426140,https://ae-pic-a1.aliexpress-media.com/kf/S36c86ee3852a4da3b9c414efac0b2930T.png,,Summer New Arrival Sports Shorts Men New Comfortable Elastic Waist Clothing Male Breathable Short Trousers Plus size,USD 11.34,USD 5.67,50%,USD,9.0,USD 0.51,9.0,USD 0.51,1320,87.8%,https://s.click.aliexpress.com/e/_c32BKdbj,,,,,,
1005006512782234,https://ae-pic-a1.aliexpress-media.com/kf/S3f990a27d1344dc2bf7b4a86d0234274t.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2646939416/p/1/e/6/t/10301/1100212268276.mp4,T1B/99j Burgundy Red Straight Bob T Part Lace Front Human Hair Wig For Women Colored Brown #2 Brazilian Remy Hair Natural Wig,USD 80.00,USD 32.00,60%,USD,7.0,USD 2.24,7.0,USD 2.24,9,99.2%,https://s.click.aliexpress.com/e/_c3atTe7X,,,,,,
1005005885554793,https://ae-pic-a1.aliexpress-media.com/kf/S258921be9d3042ff86d86437c1fd256b3.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/239798287/p/1/e/6/t/10301/4000066344244.mp4,TR90 Retro Reading Glasses for Men Sports Presbyopia EyeGlasses Spring Leg Women's Grade Glasses 0 To +4.0 Anti Blue Light Gafas,USD 2.47,USD 2.47,0%,USD,7.0,USD 0.17,7.0,USD 0.17,90,95.1%,https://s.click.aliexpress.com/e/_c3Xwwa6z,,,,,,
1005007671250335,https://ae-pic-a1.aliexpress-media.com/kf/Sc9f0a4c940054144a316268df8f35f7a7.jpg,,Women's Turtleneck Sweater Winter 2026 Retro with Velvet Lining Thickened Inner Wear Thermal Knitting Bottoming Shirt Pullovers,USD 26.51,USD 12.99,51%,USD,9.0,USD 1.17,9.0,USD 1.17,1409,94.5%,https://s.click.aliexpress.com/e/_c3l44d0l,,,,,,
1005009284966732,https://ae-pic-a1.aliexpress-media.com/kf/Saec3e117021f4a5c81ed505cc5bef93fz.jpg,,Sexy Halter Solid color Bikini Set Women's Swimsuit Two-piece Triangle Thong Swimwear Bathing Suit Brazilian Biquinis,USD 8.03,USD 8.03,0%,USD,9.0,USD 0.72,9.0,USD 0.72,723,96.7%,https://s.click.aliexpress.com/e/_c2uMIyCh,,,,,,
1005008883684287,https://ae-pic-a1.aliexpress-media.com/kf/S25cdc219bcf54c22b0fa5614182f11d9E.png,,Synthesis Wig Middle-Part Bangs Hair Extensions Clip In Forehead Natural Seamless French Oblique Bangs Eight-Character Bangs,USD 2.24,USD 2.24,0%,USD,7.0,USD 0.16,7.0,USD 0.16,5054,83.1%,https://s.click.aliexpress.com/e/_c4O5yO7f,,,,,,
